SHOT_RESULT,GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,player_name,player_id
missed,21400806,"FEB 20, 2015 - DET vs. CHI",H,W,9,7,3,590,8.3,3,2.3,3.1,2,"Gasol, Pau",2200,0.9,kentavious caldwell-pope,203484
missed,21400053,"NOV 04, 2014 - CHI vs. ORL",H,W,8,12,3,52,4.6,1,6.1,5.2,2,"Gordon, Aaron",203932,1.3,jimmy butler,202710
made,21400163,"NOV 19, 2014 - WAS vs. DAL",H,L,-3,4,2,535,19.0,0,1.0,23.9,3,"Parsons, Chandler",202718,6.5,bradley beal,203078
missed,21400730,"FEB 03, 2015 - GSW @ SAC",A,W,25,6,4,632,20.7,1,1.4,3.1,2,"Cousins, DeMarcus",202326,3.5,leandro barbosa,2571
made,21400532,"JAN 07, 2015 - SAC vs. OKC",H,W,21,13,3,629,11.8,0,1.5,25.8,3,"Westbrook, Russell",201566,6.3,darren collison,201954
made,21400533,"JAN 07, 2015 - GSW vs. IND",H,W,15,13,4,346,13.4,4,5.1,6.0,2,"West, David",2561,2.6,stephen curry,201939
made,21400575,"JAN 14, 2015 - ORL vs. HOU",H,W,7,15,3,572,5.5,9,7.2,17.1,2,"Beverley, Patrick",201976,3.9,victor oladipo,203506
missed,21400799,"FEB 11, 2015 - LAC vs. HOU",H,W,15,7,4,459,24.0,0,0.3,3.5,2,"Harden, James",201935,1.0,deandre jordan,201599
made,21400541,"JAN 09, 2015 - NOP vs. MEM",H,W,11,7,2,1,0.0,6,3.4,8.1,2,"Conley, Mike",201144,1.9,jrue holiday,201950
made,21400710,"JAN 31, 2015 - OKC @ MEM",A,L,-11,2,2,34,21.0,0,0.8,22.0,3,"Lee, Courtney",201584,6.6,anthony morrow,201627
missed,21400133,"NOV 15, 2014 - ATL @ CLE",A,L,-33,2,2,85,10.0,3,5.2,6.9,2,"Harris, Joe",203925,0.3,kent bazemore,203145
missed,21400907,"MAR 04, 2015 - MIL @ GSW",A,L,-9,7,3,280,21.4,1,3.2,6.8,2,"Green, Draymond",203110,2.1,giannis antetokounmpo,203507
missed,21400317,"DEC 10, 2014 - IND vs. LAC",H,L,-7,3,1,280,13.0,2,5.8,11.1,2,"Jordan, DeAndre",201599,4.7,david west,2561
missed,21400076,"NOV 07, 2014 - MIL @ DET",A,L,-3,2,2,632,11.9,3,3.1,14.3,2,"Butler, Caron",2406,4.5,oj mayo,201564
made,21400591,"JAN 16, 2015 - CHI @ BOS",A,W,16,16,3,50,15.0,9,9.1,1.5,2,"Bass, Brandon",101138,3.5,derrick rose,201565
missed,21400179,"NOV 21, 2014 - WAS vs. CLE",H,W,13,8,4,447,19.9,0,1.0,25.9,3,"Miller, Mike",2034,6.2,otto porter,203490
made,21400032,"NOV 01, 2014 - ATL vs. IND",H,W,10,3,2,423,0.0,2,2.2,15.9,2,"Mahinmi, Ian",101133,5.4,demarre carroll,201960
made,21400883,"MAR 01, 2015 - HOU vs. CLE",H,W,2,7,1,230,18.0,1,1.8,2.8,2,"Love, Kevin",201567,2.5,james harden,201935
