SHOT_RESULT,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,GAME_TIME
-1,-1,1,16,8,5.7,1,1.0,24.4,3,5.8,1341
1,-1,1,11,14,24.0,0,0.0,2.4,2,1.6,2688
-1,-1,1,6,3,21.1,4,4.1,3.3,2,4.1,1208
-1,1,-1,-16,9,8.8,0,0.8,19.1,2,6.9,1973
-1,1,-1,-27,1,18.0,1,2.0,4.1,2,3.2,426
1,1,-1,-17,11,8.6,1,2.2,2.1,2,2.2,1899
1,-1,1,26,6,7.4,2,3.3,3.2,2,1.8,1423
1,1,1,1,4,6.6,0,0.7,15.3,2,4.4,1261
-1,1,1,18,17,10.1,5,8.3,24.9,3,4.1,1474
1,-1,1,24,1,16.0,2,1.7,20.9,2,5.0,1316
-1,1,1,14,9,8.1,0,0.6,24.7,3,6.0,1955
1,-1,1,21,1,20.0,1,3.3,2.3,2,5.3,381
-1,1,-1,-3,7,6.7,6,8.2,8.3,2,3.5,923
-1,1,-1,-5,7,12.6,4,4.1,11.3,2,2.5,1520
-1,-1,1,27,1,15.9,0,0.8,24.8,3,3.9,199
-1,-1,1,5,4,7.9,4,3.4,10.5,2,5.0,1220
-1,1,1,3,1,7.0,0,0.7,2.2,2,3.8,676
-1,-1,-1,-7,17,8.1,12,14.2,12.5,2,2.6,2321
-1,1,-1,-9,8,9.7,0,0.6,2.2,2,1.9,338
1,1,-1,-3,1,8.0,0,0.9,4.1,2,2.5,1385
1,-1,1,17,7,14.9,0,0.2,2.2,2,1.7,1287
1,1,1,5,4,9.4,3,2.6,21.3,2,4.6,2826
-1,-1,1,4,7,10.2,0,0.0,20.2,2,5.7,1954
1,1,1,8,2,21.0,2,2.6,6.4,2,3.4,457
1,-1,-1,-20,2,10.0,2,3.7,15.8,2,5.4,1304
-1,-1,1,6,6,19.2,0,1.0,26.3,3,13.0,1071
-1,-1,-1,-2,2,13.5,0,0.6,24.6,3,11.7,1128
-1,1,1,4,9,19.3,2,2.0,25.0,3,3.0,2840
1,1,1,2,28,10.0,1,1.6,5.1,2,3.9,2337
